ID,Date,Open,High,Low,Close,Volume
304,2023-03-09,87300.0,87800.0,85300.0,85600.0,3315016
305,2023-03-10,83800.0,84400.0,83100.0,83300.0,3559824
306,2023-03-13,83200.0,84700.0,82400.0,84300.0,2860341
307,2023-03-14,82600.0,83000.0,81100.0,81100.0,3359381
308,2023-03-15,81900.0,82300.0,78800.0,79100.0,5357314
309,2023-03-16,76700.0,80200.0,76700.0,79000.0,4804196
310,2023-03-17,81200.0,84800.0,81100.0,84000.0,6239588
311,2023-03-20,83800.0,85100.0,83000.0,83700.0,2223378
312,2023-03-21,84100.0,85100.0,82900.0,83600.0,1880231
313,2023-03-22,85200.0,87300.0,83800.0,86900.0,2667268
314,2023-03-23,85400.0,88500.0,85100.0,88500.0,3091673
315,2023-03-24,89100.0,90700.0,86700.0,87300.0,4670908
316,2023-03-27,87500.0,87800.0,84700.0,85500.0,3211190
317,2023-03-28,85300.0,88700.0,85200.0,88400.0,3180431
318,2023-03-29,87400.0,88700.0,86500.0,86900.0,3070422
319,2023-03-30,89900.0,90500.0,87700.0,88800.0,4264354
320,2023-03-31,89200.0,89500.0,87600.0,88600.0,2676327
321,2023-04-03,89700.0,89700.0,86600.0,87200.0,2502220
322,2023-04-04,85700.0,85900.0,83700.0,84500.0,16808036
323,2023-04-05,84300.0,85700.0,84100.0,84600.0,4380498
324,2023-04-06,83900.0,84700.0,82700.0,83800.0,5379170
325,2023-04-07,87900.0,89400.0,86000.0,89100.0,10867359
326,2023-04-10,88700.0,92500.0,88500.0,90700.0,5387514
327,2023-04-11,90700.0,92200.0,89900.0,91800.0,5001836
328,2023-04-12,91900.0,92000.0,89700.0,90300.0,4751001
329,2023-04-13,89500.0,90300.0,88200.0,88700.0,4907552
330,2023-04-14,90100.0,90300.0,88600.0,89300.0,2324722
331,2023-04-17,89000.0,89000.0,87700.0,88500.0,1877825
332,2023-04-18,89300.0,89300.0,87300.0,87600.0,1763334
333,2023-04-19,88000.0,88500.0,86600.0,88200.0,2024519
334,2023-04-20,86600.0,88400.0,86200.0,87700.0,1746001
335,2023-04-21,87700.0,89800.0,87200.0,89100.0,2624982
336,2023-04-24,88100.0,88800.0,87000.0,87200.0,2054455
337,2023-04-25,87500.0,87800.0,83700.0,85500.0,4096411
338,2023-04-26,86400.0,88700.0,86200.0,87400.0,3240654
339,2023-04-27,87900.0,89200.0,86000.0,88800.0,2980163
340,2023-04-28,90800.0,91400.0,88700.0,89500.0,3737493
341,2023-05-02,90900.0,90900.0,88900.0,90200.0,2427349
342,2023-05-03,89000.0,90300.0,88600.0,89800.0,1779615
343,2023-05-04,88900.0,89600.0,87500.0,88700.0,1794303
344,2023-05-08,89700.0,90000.0,87700.0,88700.0,2615242
345,2023-05-09,88400.0,88600.0,86700.0,87300.0,2297473
346,2023-05-10,87200.0,87700.0,86300.0,86900.0,2137658
347,2023-05-11,86900.0,87300.0,85000.0,86300.0,2806299
348,2023-05-12,86300.0,87600.0,86200.0,87200.0,2712372
349,2023-05-15,87000.0,87100.0,85500.0,86400.0,2357794
350,2023-05-16,89500.0,90700.0,88500.0,90400.0,5121364
351,2023-05-17,92000.0,92000.0,90300.0,91900.0,3340386
352,2023-05-18,92800.0,94000.0,92000.0,93600.0,3473641
353,2023-05-19,95000.0,97900.0,94900.0,97300.0,5062669
354,2023-05-22,97700.0,99400.0,97100.0,98200.0,4248401
